                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3538,                 1.9785,                 1.4637,                0.38206,                 0.4044,                0.33899,                0.16921,                 1.6535,                 2.9785,                 1.7904,             0.00054949,             0.00054949,             0.00054949
                      2,                 1.4658,                 1.8159,                   1.55,                0.28213,                0.36068,                0.23978,                0.10735,                 1.8739,                 4.1934,                 2.3379,              0.0010942,              0.0010942,              0.0010942
                      3,                  1.502,                 1.7966,                 1.5791,                0.28081,                0.39497,                0.25879,                0.10806,                 1.9762,                 2.3124,                  2.146,              0.0016279,              0.0016279,              0.0016279
                      4,                 1.5529,                 1.8806,                 1.6056,                 0.4842,                0.39866,                0.35589,                0.17768,                 1.8101,                 2.1199,                 1.9992,              0.0016175,              0.0016175,              0.0016175
                      5,                 1.5433,                 1.8511,                 1.6309,                0.39794,                0.41587,                0.35666,                0.17067,                 1.8326,                 2.1043,                 1.9947,               0.001601,               0.001601,               0.001601
                      6,                 1.4821,                 1.7861,                 1.5919,                0.47847,                0.49389,                0.44082,                0.21137,                 1.8678,                 2.0053,                 1.9605,              0.0015845,              0.0015845,              0.0015845
                      7,                 1.4713,                 1.7421,                 1.5606,                0.57466,                0.47898,                0.50135,                0.26402,                 1.6704,                 1.8939,                 1.8573,               0.001568,               0.001568,               0.001568
                      8,                 1.4245,                 1.6519,                  1.532,                0.52308,                0.47392,                0.47343,                0.25414,                 1.6834,                  2.014,                 1.9174,              0.0015515,              0.0015515,              0.0015515
                      9,                 1.4132,                  1.628,                 1.5059,                0.55582,                0.49225,                0.50455,                0.28317,                 1.6181,                 1.8098,                 1.7789,               0.001535,               0.001535,               0.001535
                     10,                 1.4087,                 1.6138,                 1.5305,                0.56276,                0.52834,                0.54501,                0.30609,                 1.5918,                 1.7647,                 1.7313,              0.0015185,              0.0015185,              0.0015185
                     11,                  1.396,                 1.5932,                 1.5113,                0.60911,                0.54691,                0.58438,                0.32944,                 1.5486,                 1.6009,                 1.7172,               0.001502,               0.001502,               0.001502
                     12,                 1.3714,                 1.5486,                 1.4769,                 0.6256,                0.57342,                0.62495,                0.35525,                 1.5227,                 1.5427,                 1.6574,              0.0014855,              0.0014855,              0.0014855
                     13,                 1.3757,                 1.4739,                 1.4881,                0.62958,                0.57142,                0.60397,                0.33005,                 1.5558,                 1.5919,                  1.723,               0.001469,               0.001469,               0.001469
